I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
3.592378845214843750e+02,3.345574340820312500e+02,3.112467193603515625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.590309753417968750e+02,3.372148742675781250e+02,3.197449874877929688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.591412048339843750e+02,3.389280090332031250e+02,3.287382888793945312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.596640625000000000e+02,3.394126892089843750e+02,3.383755874633789062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.607235717773437500e+02,3.393409118652343750e+02,3.408332443237304688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.620230712890625000e+02,3.390202636718750000e+02,3.400797653198242188e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.635653991699218750e+02,3.392337951660156250e+02,3.296037292480468750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.650719604492187500e+02,3.398664550781250000e+02,3.192656707763671875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.663861083984375000e+02,3.420214233398437500e+02,3.115801811218261719e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.679558715820312500e+02,3.451954345703125000e+02,3.048199081420898438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.698256835937500000e+02,3.495654602050781250e+02,2.991455078125000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.716264953613281250e+02,3.548300170898437500e+02,2.965014839172363281e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.733999938964843750e+02,3.604486389160156250e+02,2.950569343566894531e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.746882324218750000e+02,3.658890991210937500e+02,2.974010658264160156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.759512023925781250e+02,3.711952514648437500e+02,3.005275154113769531e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.771749572753906250e+02,3.760662536621093750e+02,3.059290122985839844e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.781459350585937500e+02,3.805265197753906250e+02,3.121644020080566406e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.788489990234375000e+02,3.845515136718750000e+02,3.192833709716796875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.805901794433593750e+02,3.878619079589843750e+02,3.262306976318359375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.826925354003906250e+02,3.909236450195312500e+02,3.331182861328125000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.861882019042968750e+02,3.946694030761718750e+02,3.376015090942382812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.895426635742187500e+02,3.985469055175781250e+02,3.422549819946289062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.924766235351562500e+02,4.028065490722656250e+02,3.474192047119140625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.958553161621093750e+02,4.082833251953125000e+02,3.462522888183593750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.996596069335937500e+02,4.149248962402343750e+02,3.390265655517578125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.023687133789062500e+02,4.205759582519531250e+02,3.358409500122070312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.047415771484375000e+02,4.259060058593750000e+02,3.339397811889648438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.069427185058593750e+02,4.303817443847656250e+02,3.344885253906250000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.092009887695312500e+02,4.355422668457031250e+02,3.410929107666015625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.116061096191406250e+02,4.424629516601562500e+02,3.632625579833984375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.138633422851562500e+02,4.477919921875000000e+02,3.897890090942382812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.159928894042968750e+02,4.517456665039062500e+02,4.200801849365234375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.173044738769531250e+02,4.554079895019531250e+02,4.568667221069335938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.184760742187500000e+02,4.591273498535156250e+02,4.956294250488281250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.210734863281250000e+02,4.654213867187500000e+02,5.397817993164062500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.237142028808593750e+02,4.723825988769531250e+02,5.810248947143554688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.264533691406250000e+02,4.808601074218750000e+02,6.156556701660156250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.298574523925781250e+02,4.902455749511718750e+02,6.437760925292968750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.337799682617187500e+02,5.003389282226562500e+02,6.668207550048828125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.364872436523437500e+02,5.092289733886718750e+02,6.983169555664062500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.388475036621093750e+02,5.177593383789062500e+02,7.316508483886718750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
