I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
3.592379455566406250e+02,3.345571594238281250e+02,3.112622261047363281e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.590310363769531250e+02,3.372145996093750000e+02,3.197604751586914062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.591412353515625000e+02,3.389277954101562500e+02,3.287511825561523438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.596640319824218750e+02,3.394126281738281250e+02,3.383825683593750000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.607235412597656250e+02,3.393409118652343750e+02,3.408424758911132812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.620231018066406250e+02,3.390202636718750000e+02,3.400949859619140625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.635654296875000000e+02,3.392333984375000000e+02,3.296192550659179688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.650719909667968750e+02,3.398657531738281250e+02,3.192806243896484375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.663859558105468750e+02,3.420210266113281250e+02,3.115921401977539062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.679557189941406250e+02,3.451951293945312500e+02,3.048329734802246094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.698256530761718750e+02,3.495649719238281250e+02,2.991645050048828125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.716264038085937500e+02,3.548295898437500000e+02,2.965200424194335938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.733998107910156250e+02,3.604483947753906250e+02,2.950725173950195312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.746881408691406250e+02,3.658888549804687500e+02,2.974165916442871094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.759512329101562500e+02,3.711949768066406250e+02,3.005430412292480469e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.771751098632812500e+02,3.760659790039062500e+02,3.059445381164550781e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.781460876464843750e+02,3.805261840820312500e+02,3.121784973144531250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.788490905761718750e+02,3.845510559082031250e+02,3.192944908142089844e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.805902404785156250e+02,3.878616027832031250e+02,3.262432479858398438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.826925659179687500e+02,3.909236450195312500e+02,3.331338119506835938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.861882629394531250e+02,3.946694030761718750e+02,3.376199722290039062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.895427246093750000e+02,3.985469055175781250e+02,3.422748947143554688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.924765930175781250e+02,4.028065490722656250e+02,3.474361419677734375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.958552551269531250e+02,4.082831726074218750e+02,3.462678146362304688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.996595764160156250e+02,4.149244079589843750e+02,3.390420913696289062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.023687133789062500e+02,4.205757751464843750e+02,3.358564758300781250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.047416381835937500e+02,4.259062194824218750e+02,3.339553833007812500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.069427795410156250e+02,4.303815307617187500e+02,3.345071029663085938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.092010192871093750e+02,4.355417480468750000e+02,3.411136245727539062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.116061096191406250e+02,4.424624023437500000e+02,3.632832717895507812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.138633117675781250e+02,4.477915344238281250e+02,3.898065185546875000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
